name,category,meeting_time,location,member_count,description
Healthy Food Association,"Undergraduate Student Organization, Wellness, Community Service, Academic",7:30pm,Admin 250,12,"A Undergraduate Student Organization, Wellness, Community Service, Academic organization at UC Merced."
Hermanas Unidas,"Cultural, Community Service, Academic, Social, Undergraduate Student Organization",7:30 PM,COB1 114,44,"A Cultural, Community Service, Academic, Social, Undergraduate Student Organization organization at UC Merced."
Hispanics in Healthcare,Academic,TBD,TBD,33,A Academic organization at UC Merced.
Hmong Student Association,"Undergraduate Student Organization, Cultural",6 PM,TBD,29,"A Undergraduate Student Organization, Cultural organization at UC Merced."
Homebound Dance Team,"Undergraduate Student Organization, Dance",Tuesday & Thursday | 8 PM,ACS 108,5,"A Undergraduate Student Organization, Dance organization at UC Merced."
Horror Club,"Special Interest, Social",TBA,TBA,10,"A Special Interest, Social organization at UC Merced."
Human-Centered Technology & Design,"Undergraduate Student Organization, Special Interest, Academic, Art, Professional",TBD,TBD,3,"A Undergraduate Student Organization, Special Interest, Academic, Art, Professional organization at UC Merced."
Ice Cream and Baking Club,"Undergraduate Student Organization, Wellness, Social",TBD,TBD,21,"A Undergraduate Student Organization, Wellness, Social organization at UC Merced."
"Immigrant ROOTS - Rising Organizers for Opportunity, Transformation, and Solidarity",Undergraduate Student Organization,Fridays (Biweekly) | 6:00 - 8:00 PM,TBD,8,A Undergraduate Student Organization organization at UC Merced.
Improv Pawformers,"Undergraduate Student Organization, Social, Art",TBD,TBD,5,"A Undergraduate Student Organization, Social, Art organization at UC Merced."
Institute of Electrical and Electronics Engineers,Academic,Tuesdays 1:00-3:00pm,Granite 135,55,A Academic organization at UC Merced.
"International Student Mentorship Program at University of California, Merced",Leadership,Weekly on Fridays,TBD,5,A Leadership organization at UC Merced.
InterVarsity Christian Fellowship,"Social, Faith Based, Undergraduate Student Organization",TBD,TBD,5,"A Social, Faith Based, Undergraduate Student Organization organization at UC Merced."
Investment Club,"Undergraduate Student Organization, Special Interest, Professional",Thursday | 6 PM,COB2 130,39,"A Undergraduate Student Organization, Special Interest, Professional organization at UC Merced."
Jackbox Games Club at UC Merced,Gaming,Fridays at 7 pm,room 201 glacier point,2,A Gaming organization at UC Merced.
Jiu Jitsu,"Wellness, Special Interest, Cultural, Social",TBD,TBD,11,"A Wellness, Special Interest, Cultural, Social organization at UC Merced."
JOYS,Community Service,6:00pm,Glacier 120,16,A Community Service organization at UC Merced.
Judo,"Social, Cultural, Special Interest, Wellness",TBD,TBD,7,"A Social, Cultural, Special Interest, Wellness organization at UC Merced."
Kairos Dance Group,"Undergraduate Student Organization, Special Interest, Cultural, Dance, Social",Wednesday 7:30PM - 9:30PM,Glacier Point 125,33,"A Undergraduate Student Organization, Special Interest, Cultural, Dance, Social organization at UC Merced."
Kappa Delta Chi,"Cultural, Fraternity & Sorority",Sisters Only,Sisters Only,13,"A Cultural, Fraternity & Sorority organization at UC Merced."
Kappa Kappa Gamma,Fraternity & Sorority,Sisters Only,Sisters Only,26,A Fraternity & Sorority organization at UC Merced.
Kappa Sigma,"Fraternity & Sorority, Undergraduate Student Organization, Academic, Community Service, Leadership, Social",Brothers Only,Brothers Only,52,"A Fraternity & Sorority, Undergraduate Student Organization, Academic, Community Service, Leadership, Social organization at UC Merced."
Kickboxing Club,"Wellness, Undergraduate Student Organization, Recreation and Athletics, Special Interest, Social, Art",TBD,TBD,8,"A Wellness, Undergraduate Student Organization, Recreation and Athletics, Special Interest, Social, Art organization at UC Merced."
Korean Student Association,"Social, Cultural, Undergraduate Student Organization",TBD,TBD,11,"A Social, Cultural, Undergraduate Student Organization organization at UC Merced."
Koreans In Merced: Cultural Hubs & Initiatives,Cultural,TBD,TBD,6,A Cultural organization at UC Merced.
La Familia,"Social, Leadership, Academic, Community Service, Cultural, Wellness",Friday | 6 PM,COB 2 170,77,"A Social, Leadership, Academic, Community Service, Cultural, Wellness organization at UC Merced."
Lake Yosemite Club,"Social, Art, Community Service, Academic, Special Interest, Music, Recreation and Athletics, Wellness",Saturday 1-3 PM,Lake Yosemite,30,"A Social, Art, Community Service, Academic, Special Interest, Music, Recreation and Athletics, Wellness organization at UC Merced."
Lambda Alliance,"Undergraduate Student Organization, Cultural, Social",TBD,TBD,51,"A Undergraduate Student Organization, Cultural, Social organization at UC Merced."
"Lao Arts, Culture, and Heritage","Cultural, Art, Dance",@6:00pm-7:30pm,APIRC 102,5,"A Cultural, Art, Dance organization at UC Merced."
